rid	src_en	target_err	mt_de
2762	Numerous youtube videos show civilians who had no chance to land a real aircraft.	SEN	 Zahlreiche Youtube-Videos zeigen Zivilisten, die keine Chance hatten, ein echtes Flugzeug zu landen.
2763	I know that specific advices cannot be given without much information about the scenario	SEN	 Ich weiß, dass ohne umfassende Informationen zum Szenario keine konkreten Ratschläge gegeben werden können.
2764	The original component had multiple issues and was not built with reusability in mind.	SEN	 Die ursprüngliche Komponente wies mehrere Probleme auf und war nicht auf Wiederverwendbarkeit ausgelegt.
2765	Now they seem to be mad at me, completely changed, very cold, not responding.	SEN	 Jetzt scheinen sie sauer auf mich zu sein, völlig verändert, sehr kalt und reagieren nicht.
2766	I have only ever used my present name on my passport and no other.	SEN	Ich habe in meinem Reisepass immer nur meinen jetzigen Namen verwendet und keinen anderen.
2767	There are areas of the country where internet access is not sufficient for telework.	SEN	 In manchen Landesteilen ist der Internetzugang für Telearbeit nicht ausreichend.
2768	I'm not asking about cost , I know a jet engine is more expensive.	SEN	 Ich frage nicht nach den Kosten, ich weiß, dass ein Düsentriebwerk teurer ist.
2769	What is the significance of that power setting, why not higher or lower RPM?	SEN	 Welche Bedeutung hat diese Leistungseinstellung, warum nicht eine höhere oder niedrigere Drehzahl?
2770	Im asking this because I have no idea what to do in my life	SEN	 Ich frage das, weil ich keine Ahnung habe, was ich in meinem Leben tun soll
2771	This seemed to suggest to people that an academic career is not for me.	SEN	 Dies schien den Leuten zu suggerieren, dass eine akademische Karriere nichts für mich sei.
2772	So now I need to notify the people in charge that I can't attend.	SEN	 Daher muss ich jetzt den Verantwortlichen mitteilen, dass ich nicht teilnehmen kann.
2773	"Each time, I was told, ""We don't know and we don't need to know."""	SEN	 Jedes Mal wurde mir gesagt: „Wir wissen es nicht und wir müssen es auch nicht wissen.“
2774	As expected, he didn't reply, and I think he probably didn't read the email.	SEN	 Wie erwartet hat er nicht geantwortet und ich denke, er hat die E-Mail wahrscheinlich nicht gelesen.
2775	I don't want to risk responding myself as I'm losing faith in my management.	SEN	 Ich möchte nicht riskieren, selbst zu antworten, da ich das Vertrauen in mein Management verliere.
2776	but I do not plan to use my car to get around the city.	SEN	 aber ich habe nicht vor, mein Auto zu benutzen, um in der Stadt herumzukommen.
2777	Prior to this date there were time periods when no humans were in space.	SEN	 Vor diesem Datum gab es Zeiträume, in denen sich keine Menschen im Weltraum befanden.
2778	I have never be disciplined for anything nor was my performance brought into question.	SEN	Ich wurde nie für irgendetwas bestraft, noch wurde meine Leistung in Frage gestellt.
2779	Existing brackets and cables feature a wire thimble, while the new stuff does not.	SEN	 Vorhandene Halterungen und Kabel verfügen über eine Drahtkausche, die neuen nicht.
2780	My electric stud finder couldn't find any studs reliably (different readings depending on height).	SEN	 Mein elektrischer Balkenfinder konnte keine Balken zuverlässig finden (unterschiedliche Messwerte je nach Höhe).
2781	Answer: Increase power, pitch down, level wings This is not what I would've answered.	SEN	 Antwort: Leistung erhöhen, Neigung nach unten, Flügel ausrichten. Das ist nicht, was ich geantwortet hätte.
2782	Then, she threatened to quit the company altogether, if I don't exit the project.	SEN	 Dann drohte sie, das Unternehmen ganz zu verlassen, wenn ich das Projekt nicht verlasse.
2783	I'm not very good in speaking to argue and I'm introverted evethough I'm qualified.	SEN	 Ich bin nicht sehr gut im Reden und Argumentieren und bin introvertiert, obwohl ich qualifiziert bin.
2784	I have just entered the new house and the entrance gate does not close.	SEN	 Ich bin gerade in das neue Haus eingezogen und das Eingangstor schließt nicht.
2785	Also I don't know how to separate the technical part from the emotional one	SEN	 Außerdem weiß ich nicht, wie ich den technischen Teil vom emotionalen trennen soll
2786	I find this is especially annoying when the date is not increased upon changes.	SEN	 Besonders ärgerlich finde ich das, wenn das Datum bei Änderungen nicht erhöht wird.
2787	A few other graduates were also let go though none as new as me.	SEN	 Einige andere Absolventen wurden ebenfalls entlassen, allerdings war keiner so neu wie ich.
2788	Does anyone have any better ideas or think any of my suggestions won't work?	SEN	 Hat jemand bessere Ideen oder glaubt er, dass einer meiner Vorschläge nicht funktionieren wird?
2789	If nothing changes, then: Ask the CEO to have more say in the matter.	SEN	Wenn sich nichts ändert, dann: Fordern Sie den CEO auf, in der Angelegenheit mehr Mitspracherecht zu haben.
2790	"But since you don't really know the term ""people"" we gonna call them ""consumers."""	SEN	 Aber da Sie den Begriff „Menschen“ nicht wirklich kennen, nennen wir sie „Verbraucher“.
2791	I do not have a car so I cannot do Uber or food delivery.	SEN	 Ich habe kein Auto, daher kann ich weder Uber nutzen noch Essen ausliefern.
2792	And must he provide an employment letter can't he just provide a pay slip.	SEN	 Und muss er ein Arbeitszeugnis vorlegen? Kann er nicht einfach eine Gehaltsabrechnung vorlegen?
2793	So I'm not in any real trouble, but obviously it was a humiliating experience.	SEN	 Ich bin also nicht wirklich in Schwierigkeiten, aber es war natürlich eine demütigende Erfahrung.
2794	and I can't go back to my last position because there is no openings	SEN	 und ich kann nicht zu meiner letzten Position zurückkehren, weil es keine offenen Stellen gibt
2795	And finally, are they likely to cancel my reservation if I don't do this?	SEN	 Und schließlich: Ist es wahrscheinlich, dass meine Reservierung storniert wird, wenn ich dies nicht tue?
2796	Is it unusual that data on a Flight Data Recorder is not time stamped?.	SEN	 Ist es ungewöhnlich, dass Daten auf einem Flugdatenschreiber keinen Zeitstempel haben?
2797	However, he made no accommodations and instead included those periods in his negative evaluation.	SEN	 Er ging jedoch nicht auf diese Umstände ein und bezog diese Zeiträume stattdessen in seine negative Bewertung ein.
2798	But most people did not feel any compulsion to use opiates again in life.	SEN	 Die meisten Menschen verspürten jedoch keinen Zwang, im Leben erneut Opiate zu nehmen.
2799	"They never admitted overbooking in their email response, repeating the ""fraud"" talking point again."	SEN	 Sie haben in ihrer E-Mail-Antwort nie zugegeben, dass es zu einer Überbuchung gekommen sei, und wiederholten damit erneut den Punkt „Betrug“.
2800	Unfortunately, our management and leadership have not taken a strong stance in these situations.	SEN	Leider haben unser Management und unsere Führung in diesen Situationen keine klare Haltung eingenommen.
2801	However, he clearly didn't understand me because he continued repeating the same false claim.	SEN	 Allerdings hat er mich offensichtlich nicht verstanden, denn er wiederholte immer wieder dieselbe falsche Behauptung.
2802	Historically, I've had no issues with this other than having to change the tubes.	SEN	 Bisher hatte ich damit keine Probleme, außer dass ich die Schläuche wechseln musste.
2803	Does this plane not have weight on wheel sensors to prevent something like this?	SEN	 Verfügt dieses Flugzeug nicht über Radgewichtssensoren, um so etwas zu verhindern?
2804	Since upgrading, we no longer need the piping that goes out towards the roof.	SEN	 Seit der Modernisierung benötigen wir die Rohrleitungen, die zum Dach führen, nicht mehr.
2805	He told me that I'm not the lead, but I have the overall responsibility.	SEN	 Er sagte mir, dass ich nicht die Leitung habe, aber die Gesamtverantwortung trage.
2806	However, this single study did not compare replacing a habit with just stopping it.	SEN	 Allerdings wurde in dieser Einzelstudie nicht das Ersetzen einer Gewohnheit mit dem bloßen Aufgeben dieser verglichen.
2807	My friend has a driver's license and insurance, but no money and no car.	SEN	 Mein Freund hat einen Führerschein und eine Versicherung, aber kein Geld und kein Auto.
2808	In all three cases, I do not fly and do not get any refund.	SEN	 In allen drei Fällen fliege ich nicht und bekomme keine Rückerstattung.
2809	After this event our contract got renegotiated just based off it expired nothing special.	SEN	 Nach diesem Ereignis wurde unser Vertrag neu ausgehandelt, nur weil er abgelaufen war, nichts Besonderes.
2810	A buddy of mine states their neck as hypermobile but I don't think so.	SEN	 Ein Kumpel von mir sagt, ihr Nacken sei hypermobil, aber das glaube ich nicht.
2811	Is there any reasonable method for doing this that wouldn't require refinishing the stain?	SEN	Gibt es hierfür eine vernünftige Methode, bei der der Fleck nicht nachbearbeitet werden muss?
2812	But since we don't have an overlapping work the pattern is much less present.	SEN	 Da wir jedoch keine überlappende Arbeit haben, ist das Muster viel weniger präsent.
2813	My parents claim that they received no reason for the denial at the time.	SEN	 Meine Eltern behaupten, dass sie damals keinen Grund für die Ablehnung erhalten hätten.
2814	And then there are projects that won't have all of their time used up.	SEN	 Und dann gibt es Projekte, deren Zeit nicht vollständig ausgeschöpft wird.
2815	and i'm not sure how that certain speed is plotted on the power curve.	SEN	 und ich bin nicht sicher, wie diese bestimmte Geschwindigkeit in der Leistungskurve dargestellt wird.
2816	Is it fractured internally (and this is why is doesn't show on the xray)?	SEN	 Ist es innerlich gebrochen (und deshalb auf dem Röntgenbild nicht zu sehen)?
2817	Is there any regulation that doesn't allow experimental aircraft to fly in RVSM airspace?	SEN	 Gibt es eine Regelung, die es experimentellen Flugzeugen nicht erlaubt, im Luftraum des RVSM zu fliegen?
2818	Factsheets are for guidance only and reflect HMRC’s position at the time of writing.	SAF	 Die Factsheets dienen nur zur Orientierung und spiegeln die Position von HMRC zum Zeitpunkt der Erstellung wider.
2819	Effective security categorisation is fundamental to risk management and ensuring good order is maintained.	SAF	 Eine wirksame Sicherheitskategorisierung ist für das Risikomanagement und die Aufrechterhaltung der Ordnung von grundlegender Bedeutung.
2820	Other bodies may choose to apply the guidance voluntarily, in full or in part.	SAF	 Andere Stellen können sich freiwillig dazu entschließen, die Leitlinien ganz oder teilweise anzuwenden.
2821	How to Apply The full application process is outlined in the application guidance notes.	SAF	 So bewerben Sie sich: Der vollständige Bewerbungsprozess ist in den Bewerbungshinweisen beschrieben.
2822	It also gives guidance on when an investor is eligible to make a claim.	SAF	Es enthält außerdem Hinweise dazu, wann ein Anleger Anspruch auf einen Anspruch hat.
2823	The scheme is voluntary and access to the guidance, self-assessments and resources is free.	SAF	 Das Programm ist freiwillig und der Zugang zu den Anleitungen, Selbsteinschätzungen und Ressourcen ist kostenlos.
2824	Risk information for close community contacts of cases of iGAS infection is also available.	SAF	 Es sind auch Risikoinformationen für enge Kontakte in der Gemeinschaft zu Fällen einer iGAS-Infektion verfügbar.
2825	You must also decide whether you want to use any of the optional annexes.	SAF	 Sie müssen außerdem entscheiden, ob Sie optionale Anhänge verwenden möchten.
2826	The guide is aimed at conveyancers and you should interpret references to ‘you’ accordingly.	SAF	 Der Leitfaden richtet sich an Notare und Sie sollten Verweise auf „Sie“ entsprechend interpretieren.
2827	It should be read alongside the statutory guidance for chief officers of police .	SAF	 Es sollte zusammen mit den gesetzlichen Richtlinien für Polizeichefs gelesen werden.
2828	Guidance in this section has been reworked into a new format and plainer language.	SAF	 Die Anleitung in diesem Abschnitt wurde in ein neues Format und eine einfachere Sprache überarbeitet.
2829	Rubella vaccination is also recommended for women who require protection before becoming pregnant again.	SAF	 Eine Rötelnimpfung wird auch Frauen empfohlen, die vor einer erneuten Schwangerschaft Schutz benötigen.
2830	Check this page for guidance on eligibility and how to apply for a voucher.	SAF	 Auf dieser Seite finden Sie Hinweise zur Berechtigung und zur Beantragung eines Gutscheins.
2831	Check the guidance on the exhaustion of intellectual property rights and parallel trade .	SAF	 Lesen Sie die Hinweise zur Erschöpfung von Rechten des geistigen Eigentums und zum Parallelhandel.
2832	This and the next four lines should include “Amounts owed to related/ connected parties”.	SAF	 Diese und die nächsten vier Zeilen sollten „Geschuldete Beträge gegenüber verbundenen Parteien“ enthalten.
2833	This PGD template supports the administration of live attenuated influenza vaccine ( LAIV )	SAF	Diese PGD-Vorlage unterstützt die Verabreichung eines abgeschwächten Lebendimpfstoffs gegen Grippe (LAIV).
2834	Academy trusts must comply with this handbook as a condition of their funding agreement.	SAF	 Als Bedingung für die Finanzierungsvereinbarung müssen die Stiftungen der Akademien dieses Handbuch einhalten.
2835	An overall risk-assessment-based package of travel health advice should be provided to the traveller.	SAF	 Dem Reisenden sollte ein umfassendes Paket an reisemedizinischen Ratschlägen auf der Grundlage einer Risikobewertung zur Verfügung gestellt werden.
2836	The document gives guidance on how to register online and complete the application process.	SAF	 Das Dokument enthält Hinweise zur Online-Registrierung und zum Abschluss des Bewerbungsprozesses.
2837	This page provides links to guidance which may be helpful for employees and employers.	SAF	 Auf dieser Seite finden Sie Links zu Leitfäden, die für Arbeitnehmer und Arbeitgeber hilfreich sein können.
2838	This guidance informs you about the process of how to become a registered adviser.	SAF	 Diese Anleitung informiert Sie über den Prozess, wie Sie ein registrierter Berater werden.
2839	This guide is aimed at conveyancers and you should interpret references to ‘you’ accordingly.	SAF	 Dieser Leitfaden richtet sich an Notare und Sie sollten Verweise auf „Sie“ entsprechend interpretieren.
2840	We’ll publish any changes to our fees or any new fees in this guidance.	SAF	 Änderungen unserer Gebühren oder neue Gebühren werden wir in dieser Anleitung veröffentlichen.
2841	These documents include guidance on who can apply and how to apply for funding.	SAF	 Diese Dokumente enthalten Hinweise dazu, wer sich bewerben kann und wie die Finanzierung beantragt wird.
2842	You must also hold a research grant or award from an approved endorsed funder.	SAF	 Sie müssen außerdem über ein Forschungsstipendium oder eine Auszeichnung eines anerkannten Förderers verfügen.
2843	How to claim PIP Our PIP guidance explains how to make a claim .	SAF	 So beantragen Sie PIP. In unseren PIP-Richtlinien wird erläutert, wie Sie einen Antrag stellen.
2844	The accompanying leaflet gives an overview of the main messages from the full guidance.	SAF	Die beigefügte Broschüre gibt einen Überblick über die wichtigsten Botschaften der vollständigen Anleitung.
2845	This guidance includes ‘model constitutions’, which are template memorandum and articles of association documents.	SAF	 Diese Anleitung umfasst „Mustersatzungen“, bei denen es sich um Musterdokumente für Gesellschaftsverträge und Satzungen handelt.
2846	The guidance sets out a process for managing the actions identified prior to expiry.	SAF	 Die Leitlinien legen einen Prozess zur Verwaltung der vor Ablauf identifizierten Maßnahmen fest.
2847	While the treatment of pressure ulcers is mainly clinical, prevention is a shared responsibility.	SAF	 Während die Behandlung von Dekubitus hauptsächlich klinischer Natur ist, liegt die Prävention in der gemeinsamen Verantwortung.
2848	‘Statutory’ means what schools and local authorities must do to comply with the law.	SAF	 „Gesetzlich vorgeschrieben“ bedeutet, was Schulen und lokale Behörden tun müssen, um das Gesetz einzuhalten.
2849	The defendant’s legal representative must be registered with MyHMCTS before you issue the claim.	SAF	 Der Rechtsvertreter des Beklagten muss bei MyHMCTS registriert sein, bevor Sie den Anspruch geltend machen.
2850	The policy is supported by guidance which can be found on the HMPPS intranet.	SAF	 Die Richtlinie wird durch Leitlinien unterstützt, die im HMPPS-Intranet zu finden sind.
2851	This guidance is for charities and qualifying bodies that raise money through fundraising events.	SAF	 Diese Anleitung richtet sich an Wohltätigkeitsorganisationen und qualifizierte Einrichtungen, die durch Spendenveranstaltungen Geld sammeln.
2852	This and the next three lines should only include properties owned by the provider.	SAF	 In dieser und den nächsten drei Zeilen sollten nur Eigenschaften aufgeführt werden, die dem Anbieter gehören.
2853	This and the next two lines should exclude existing properties transferred from other providers.	SAF	 Diese und die nächsten beiden Zeilen sollten bestehende, von anderen Anbietern übertragene Immobilien ausschließen.
2854	Useful information and detailed guidance on the management of ports and other marine facilities.	SAF	Nützliche Informationen und detaillierte Anleitungen zum Management von Häfen und anderen Meereseinrichtungen.
2855	Guidance is also available on district level licensing schemes for local planning authorities .	SAF	 Für lokale Planungsbehörden stehen außerdem Leitlinien zu Lizenzierungsprogrammen auf Bezirksebene zur Verfügung.
2856	This and the next line should be Net Book Value, which includes accumulated depreciation.	SAF	 Diese und die nächste Zeile sollten den Nettobuchwert darstellen, der die kumulierte Abschreibung enthält.
2857	For further information contact: DESEngSfty-QSEPSEP-Reach@mod.gov.uk Related information REACH Portal - Health and Safety Executive	SAF	 Weitere Informationen erhalten Sie unter: DESEngSfty-QSEPSEP-Reach@mod.gov.uk Verwandte Informationen REACH-Portal – Health and Safety Executive
2858	For guidance about local land charges see practice guide 79: local land charges .	SAF	 Hinweise zu lokalen Grundschulden finden Sie im Praxisleitfaden 79: Lokale Grundschulden.
2859	Payments from overseas must be in sterling drawn on a United Kingdom clearing bank.	SAF	 Zahlungen aus dem Ausland müssen in Pfund Sterling erfolgen und auf eine britische Clearingbank ausgestellt sein.
2860	For your own safety do not touch any military debris, it may be dangerous.	SAF	 Berühren Sie zu Ihrer eigenen Sicherheit keine militärischen Abfälle, dies kann gefährlich sein.
2861	This line and the next should be Net Book Value, which includes accumulated depreciation.	SAF	 Diese und die nächste Zeile sollten den Nettobuchwert darstellen, der die kumulierte Abschreibung umfasst.
2862	You should follow statutory responsibilities unless you have a very good reason not to.	SAF	 Sie sollten Ihren gesetzlichen Verpflichtungen nachkommen, es sei denn, Sie haben einen sehr guten Grund, dies nicht zu tun.
2863	If they have done so, you do not need to submit a duplicate notification.	SAF	 Wenn dies der Fall ist, müssen Sie keine zweite Meldung einreichen.
2864	Low risk consignments will not be subject to routine documentary, identity and physical checks.	SAF	Sendungen mit geringem Risiko unterliegen keinen routinemäßigen Dokumenten-, Identitäts- und Warenkontrollen.
2865	This document provides guidance on the Short Form Contract and how to use it.	SAF	 Dieses Dokument enthält Hinweise zum Kurzformvertrag und seiner Verwendung.
2866	This guidance is for people attending a video hearing using Cloud Video Platform (CVP).	SAF	 Diese Anleitung richtet sich an Personen, die an einer Videoanhörung über die Cloud Video Platform (CVP) teilnehmen.
2867	Guidance about the priority service for Worker or Temporary Worker employers sponsoring foreign workers.	SAF	 Hinweise zum vorrangigen Service für Arbeitgeber, die Arbeitnehmer oder Zeitarbeitnehmer sind und ausländische Arbeitnehmer sponsern.
2868	Employers have a key role to play in preventing illegal working in the UK.	SAF	 Arbeitgebern kommt bei der Verhinderung illegaler Arbeit im Vereinigten Königreich eine Schlüsselrolle zu.
2869	To access DASA ’s services and apply for funding, you must have an account.	SAF	 Um auf die Dienste der DASA zugreifen und Fördermittel beantragen zu können, benötigen Sie ein Konto.
2870	This guidance also provides examples of how Awaab’s law may apply in particular cases.	SAF	 Diese Anleitung enthält auch Beispiele dafür, wie das Awaab-Gesetz in bestimmten Fällen angewendet werden kann.
2871	See Sentencing – Ancillary Orders guidance for further details on criteria and procedural requirements.	SAF	 Weitere Einzelheiten zu Kriterien und Verfahrensanforderungen finden Sie in den Leitlinien zur Strafzumessung – Nebenanordnungen.
2872	You might be able to apply for help with Court of Protection fees .	SAF	 Möglicherweise können Sie Unterstützung bei den Gebühren des Vormundschaftsgerichts beantragen.
2873	They do not apply to other government departments, their agencies or arm’s length bodies.	SAF	 Sie gelten nicht für andere Regierungsabteilungen, deren Agenturen oder unabhängige Stellen.
2874	UK Visas and Immigration guidance for staff on the Immigration Rules, Global Talent category.	SAF	Leitfaden für Mitarbeiter zu britischen Visa und Einwanderung zu den Einwanderungsbestimmungen, Kategorie „Global Talent“.
2875	How to Self-Report A corporate self-report should be made directly to the Intelligence Division.	SAF	 So melden Sie sich selbst: Ein Unternehmens-Selbstbericht sollte direkt bei der Intelligence Division eingereicht werden.
2876	The Framework includes requirements and guidance for: Newly Sentenced Indeterminate and Parole Eligible Determinate	SAF	 Der Rahmen umfasst Anforderungen und Leitlinien für: Neuverurteilte mit unbestimmter Verurteilung und Personen mit Bewährungsanspruch mit bestimmter Verurteilung
2877	This document provides guidance on the Model Services Contract and how to use it.	SAF	 Dieses Dokument enthält Hinweise zum Musterdienstleistungsvertrag und seiner Verwendung.
2878	This guidance will inform you about how the Home Office deals with ex-gratia payments.	SAF	 Diese Anleitung informiert Sie darüber, wie das Innenministerium mit freiwilligen Zahlungen umgeht.
2879	How to avoid HM Land Registry requisitions Watch this video about confirmation of identity.	SAF	 So vermeiden Sie die Anforderung von HM Land Registry. Sehen Sie sich dieses Video zur Identitätsbestätigung an.
2880	If you do not know what your charity’s type is, check your governing document.	SAF	 Wenn Sie nicht wissen, um welche Art von Wohltätigkeitsorganisation es sich handelt, sehen Sie in Ihrem Gründungsdokument nach.
2881	This information is use in conjunction with practical guidance issued in ‘ A guide to good practice on port marine operations ’.	SAF	 Diese Informationen werden in Verbindung mit den praktischen Leitlinien verwendet, die im „Leitfaden für bewährte Verfahren im Hafenschiffsbetrieb“ veröffentlicht sind.
2882	Contact should be made with the relevant regulatory departments to ascertain whether investigations are being conducted regarding due diligence of the company.	SAF	 Es sollte Kontakt mit den zuständigen Aufsichtsbehörden aufgenommen werden, um festzustellen, ob Untersuchungen zur Due Diligence des Unternehmens durchgeführt werden.
2883	You should only use the quick guide as a reference to remind you about the most common and useful things to remember.	SAF	Sie sollten die Kurzanleitung nur als Referenz verwenden, um sich an die häufigsten und nützlichsten Dinge zu erinnern, die Sie sich merken sollten.
2884	Guidance for religious organisations on how to sponsor a worker on the Minister of Religion and Religious Worker (Temporary Work) immigration routes.	SAF	 Leitfaden für religiöse Organisationen zur Förderung eines Arbeitnehmers auf den Einwanderungswegen des Religionsministers und des religiösen Arbeitnehmers (Zeitarbeit).
2885	Warning signals; red flags by day and red lamps by night, indicate that live firing is taking place within the range boundaries.	SAF	 Warnsignale – rote Fahnen bei Tag und rote Lampen bei Nacht – zeigen an, dass innerhalb der Schießplatzgrenzen scharf geschossen wird.
2886	Reporting bribery and corruption If you suspect that someone has broken the law, you should contact the police in the first instance.	SAF	 Bestechung und Korruption melden Wenn Sie den Verdacht haben, dass jemand gegen das Gesetz verstoßen hat, sollten Sie sich zunächst an die Polizei wenden.
2887	your advert must use the wording in the template Find out more about how to apply for a vehicle operator licence .	SAF	 Ihre Anzeige muss den Wortlaut der Vorlage verwenden. Erfahren Sie mehr darüber, wie Sie eine Fahrzeugführererlaubnis beantragen.
2888	The guidance document explains what local authorities can spend the funding on and the issues they should consider to achieve best outcomes.	SAF	 In dem Leitfaden wird erläutert, wofür die lokalen Behörden die Mittel ausgeben können und welche Aspekte sie berücksichtigen sollten, um optimale Ergebnisse zu erzielen.
2889	The Analytical Evaluation capabilities framework documents provide guidance on the types of skills government evaluators should have or should try to develop.	SAF	 Die Rahmendokumente zu den Fähigkeiten zur analytischen Bewertung bieten Hinweise zu den Arten von Fähigkeiten, die staatliche Gutachter haben oder entwickeln sollten.
2890	To preserve and protect the national heritage for the benefit of the public, the government introduced the conditional exemption tax incentive scheme.	SAF	Um das nationale Erbe zum Wohle der Öffentlichkeit zu bewahren und zu schützen, hat die Regierung das Steueranreizsystem mit bedingter Befreiung eingeführt.
2891	To complement the guidance and support its implementation, we recommend educating children and young people on hygiene, germs (microbes), vaccination, and antibiotics.	SAF	 Um die Leitlinien zu ergänzen und ihre Umsetzung zu unterstützen, empfehlen wir, Kinder und Jugendliche über Hygiene, Keime (Mikroben), Impfungen und Antibiotika aufzuklären.
2892	Think about whether you should encourage trustees at your charity to claim their expenses to avoid them stepping down for financial reasons.	SAF	 Überlegen Sie, ob Sie die Treuhänder Ihrer Wohltätigkeitsorganisation dazu ermutigen sollten, ihre Ausgaben geltend zu machen, um zu vermeiden, dass sie aus finanziellen Gründen zurücktreten.
2893	Standards - Organisations must use functional standards to ensure clear accountability, sufficient capability and expected practices support the development of spending proposals.	SAF	 Standards – Organisationen müssen funktionale Standards verwenden, um sicherzustellen, dass die Entwicklung von Ausgabenvorschlägen durch klare Verantwortlichkeiten, ausreichende Fähigkeiten und erwartete Praktiken unterstützt wird.
2894	Analytical quality assurance Avoiding and addressing mistakes is vital to ensure that all analysis has the right impacts at the right time.	SAF	 Analytische Qualitätssicherung Das Vermeiden und Beheben von Fehlern ist von entscheidender Bedeutung, um sicherzustellen, dass alle Analysen zum richtigen Zeitpunkt die richtigen Auswirkungen haben.
2895	They help to deliver savings and efficiencies, increase delivery confidence, reduce risk, support capability improvements and help ensure improved outcomes for citizens.	SAF	 Sie tragen dazu bei, Einsparungen und Effizienz zu erzielen, die Zuverlässigkeit der Lieferungen zu erhöhen, Risiken zu verringern, Leistungsverbesserungen zu unterstützen und bessere Ergebnisse für die Bürger sicherzustellen.
2896	To avoid confusion, we have produced a patient information leaflet detailing advice on paracetamol dosage and timings and addressing frequently asked questions.	SAF	Um Verwirrung zu vermeiden, haben wir eine Patienteninformationsbroschüre erstellt, die detaillierte Hinweise zur Dosierung und Einnahmezeit von Paracetamol enthält und häufig gestellte Fragen beantwortet.
2897	Colleges and training organisations should issue the letter as part of their discussion with learners when they are considering their funding options.	SAF	 Hochschulen und Ausbildungseinrichtungen sollten den Brief im Rahmen ihrer Gespräche mit den Lernenden ausstellen, wenn diese ihre Finanzierungsmöglichkeiten prüfen.
2898	Before completing the form, give due consideration to your responses as failure to meet the requirements will prevent you from delivering training.	SAF	 Überlegen Sie sich Ihre Antworten gut, bevor Sie das Formular ausfüllen, denn wenn Sie die Anforderungen nicht erfüllen, können Sie keine Schulung durchführen.
2899	For guidance on the treatment of tetanus cases and management of tetanus prone wounds, please see tetanus: guidance for health professionals .	SAF	 Hinweise zur Behandlung von Tetanusfällen und zur Versorgung von Wunden, die zu Tetanus führen, finden Sie unter „Tetanus: Leitfaden für medizinisches Fachpersonal“.
2900	They offer practical guidance on how to apply the school food standards and make sure healthy options are always available for pupils.	SAF	 Sie bieten praktische Anleitungen zur Anwendung der Schulessensstandards und stellen sicher, dass den Schülern stets gesunde Alternativen zur Verfügung stehen.
2901	planning varied and balanced nutritious meals planning and managing the safe service of meals mandatory requirements legislative requirements guidance and supporting documentation	SAF	 Planung abwechslungsreicher und ausgewogener Mahlzeiten Planung und Verwaltung der sicheren Essensausgabe Verbindliche Anforderungen Gesetzliche Anforderungen Anleitung und unterstützende Dokumentation
2902	The guidance on making significant changes to an open academy is for academy trusts wishing to make organisational changes to a school.	SAF	Die Anleitung zur Durchführung wesentlicher Änderungen an einer offenen Akademie richtet sich an Akademie-Trusts, die organisatorische Änderungen an einer Schule vornehmen möchten.
2903	This guidance describes how you make the claim when an individual has gone bankrupt or a company has gone into compulsory liquidation.	SAF	 In dieser Anleitung wird beschrieben, wie Sie den Anspruch geltend machen, wenn eine Einzelperson in Konkurs gegangen ist oder ein Unternehmen in die Zwangsliquidation gegangen ist.
2904	The aim of the herpes zoster (shingles) vaccination programme is to reduce the incidence and severity of shingles disease in older people.	SAF	 Ziel des Impfprogramms gegen Herpes Zoster (Gürtelrose) ist es, die Häufigkeit und Schwere der Gürtelrose-Erkrankung bei älteren Menschen zu verringern.
2905	This guidance will help providers and employers to deliver high-quality industry placements, which form a mandatory component of the T Level programme.	SAF	 Diese Anleitung wird Anbietern und Arbeitgebern dabei helfen, hochwertige Praktika in der Industrie anzubieten, die einen obligatorischen Bestandteil des T-Level-Programms darstellen.
2906	Publishing an accessibility statement is one of the things public sector organisations must do to meet the requirements of accessibility regulations .	SAF	 Die Veröffentlichung einer Erklärung zur Barrierefreiheit ist eine der Aufgaben, die öffentliche Einrichtungen erfüllen müssen, um die Anforderungen der Barrierefreiheitsvorschriften zu erfüllen.
2907	Institutions must comply with the rules when setting their discretionary bursary policies, assessing individual student eligibility and actual need and making payments.	SAF	 Die Institutionen müssen die Regeln einhalten, wenn sie ihre Richtlinien für die Gewährung von Stipendien nach eigenem Ermessen festlegen, die Berechtigung und den tatsächlichen Bedarf einzelner Studenten beurteilen und Zahlungen leisten.
2908	If your consignment is in the BTOM medium risk category Use IPAFFS to notify authorities before the goods arrive in Great Britain.	SAF	Wenn Ihre Sendung in die BTOM-Kategorie „mittleres Risiko“ fällt, verwenden Sie IPAFFS, um die Behörden zu benachrichtigen, bevor die Waren in Großbritannien eintreffen.
2909	This PGD template should be used with reference to current national guidance, the Green Book , and Summary of Product Characteristics .	SAF	 Diese PGD-Vorlage sollte unter Bezugnahme auf die aktuellen nationalen Leitlinien, das Grünbuch und die Zusammenfassung der Merkmale des Arzneimittels verwendet werden.
2910	UK Visas and Immigration guidance on how staff validate, consider and decide applications for an administrative review made under the Immigration Rules.	SAF	 Leitlinien von UK Visas and Immigration dazu, wie Mitarbeiter Anträge auf eine Verwaltungsprüfung gemäß den Einwanderungsbestimmungen validieren, prüfen und entscheiden.
2911	National protocol for COVID-19 mRNA vaccine (5 years and over) version 2.00 is valid from 1 April 2025 to 17 June 2025.	SAF	 Das nationale Protokoll für den COVID-19-mRNA-Impfstoff (ab 5 Jahren) Version 2.00 ist vom 1. April 2025 bis zum 17. Juni 2025 gültig.
